part_number,new_part_number
16A13H218 ,50115989
16A13H221 ,95210613
16A13H343 ,50116052
16A4C1 ,95077681
16A4C3 ,95077764
16A4C5 ,95077798
16A4C7 ,95077814
16A4C8 ,95077822
16A4C9 ,50132927
16CC3 ,50019561
16CCW1 ,50023365
16D50 ,50111913
16DA35 ,50169697
16J50A ,50005008
16JA35 ,50011048
16L54 ,50166792
16PB8A ,50014901
16PF3 ,50186493
16R38 ,50043686
16R58 ,50072024
16RP38 ,50002765
1702P-TK2 ,3802949
1703CM150 ,50121334
1704CM150 ,50121342
170DBM3 ,50159854
170JHM ,50038397
1710-A40 ,3649084
1710B/1710P-TK3,3802972
1711B-826 ,3674637
1711B-826-6 ,3673811
1711CM250 ,50243625
1712-A40 ,3486503
171DA35 ,50320381
171JR38C ,50171578
1732CM150A ,50202340
1734CM150 ,50121375
173A13S150 ,95223996
173A13S200 ,95224002
174DA35 ,50165687
174J30 ,50012145
174J50 ,50004522
174JA45 ,50015569
174R38 ,50045657
174R48 ,50011261
174R58 ,50069236
174S49 ,
174X71 ,50049857
1751CM150A ,50117548
176CM150A ,50208545
176DBM3 ,50159870
176FM4 ,50030519
177DRD2 ,50161678
17A13A143 ,95239869
17A13A291 ,95239927
17A13A372 ,95096855
17A13S1143 ,50353879
17A2C498 ,95210639
17DA35 ,50169713
17DRD2 ,50006717
17J10A ,50005297
17J50 ,50003748
17JB5 ,
17JL1 ,50067552
17JR300 ,50311844
17R48 ,50010206
17R58 ,
17S49 ,
17S70 ,50173871
17SAR120 ,50108331
180CM ,
182A53-29 ,3485752
182A53-578 ,3485760
182A53-589 ,3485810
182A53-603 ,3485836
182A53-A607 ,3486339
182A83-606 ,3500832
183D505 ,50020304
1849CM150A ,50200815
1859QM5 ,50179613
185DHD1060B ,50215425
186DA45 ,
1878CM150A ,50201813
18989-1 ,50570795
18A2C1219 ,50476183
18A2C397 ,95064051
18A2C498 ,95264693
18A2C641 ,
18A2J1217 ,95227104
18A2J1298 ,95269361
18A2J240 ,50102029
18A2J343 ,95209714
18A40 ,50028752
18A41 ,50028786
18A42 ,50028802
18A44 ,50028828
18A5 ,95000006
18A50 ,50028869
18A55 ,50028166
18B38 ,50028695
18C38 ,50028703
18D40 ,50028760
18D41 ,50028794
18F38 ,50028729
18H38 ,50028737
18N70 ,50235894
18PF2 ,50188150
18PF3 ,50186501
1901-A40 ,3644325
1901-A727 ,3644358
1902-A40 ,3647146
190DC250 ,
190DHD1060 ,50041201
190DHD1070 ,50047570
1944-1 ,50636729
194D50 ,
194J50 ,
194JR300 ,50311968
196J50 ,
197JA35 ,
197JA55 ,50008747
197R48 ,50011279
198JR38 ,
199D1 ,50120708
19A11C08 ,95209870
19A11C10 ,95209888
19A19N08 ,95200895
19A4C11 ,95002499
19A4C5 ,95201331
19A4C6 ,
19A4C8 ,95076907
19A7S97 ,95061123
19CC80 ,50022557
19D475 ,50015833
19DA45 ,50014992
19DB30 ,
19DB30WD ,50050988
19DC35 ,50161132
19J15 ,50010420
19JA35 ,50013143
19JA55 ,50008556
19L29 ,50169408
19PB6 ,50001346
19PB8A ,50014919
19QRD ,50028638
19S49 ,
19S70 ,
19X70 ,50041482
1AF10 ,50114545
1AF9 ,50116417
1BAL96A ,50207430
1BAL96B ,50205350
1BRG142B ,50207240
1BRG142C ,50207232
1BRG2389D ,50209352
1BRG2389G ,50214709
1BRG2389H ,50214873
1BRG2389J ,50104611
1BRG2389M ,50219583
1BRG2389P ,50295633
1BRG2389R ,50297035
1BRG2389V ,50547843
1BSH294A ,50219492
1CPG556A ,50245752
1CYL640AA ,50243542
1CYL640AB ,50243583
1CYL640AC ,50243575
1CYL640AE ,50243724
1CYL640AJ ,50251115
1CYL640AN ,50031608
1CYL640AR ,50252170
1CYL640BH ,50402791
1CYL640BJ ,50366210
1CYL640BS ,50485994
1CYL640BT ,50434729
1CYL640BX ,50481829
1D475 ,50015791
1D475A ,50016898
1D50 ,50233311
1DB35WD ,
1DVR741A ,1138536
1FW-162 ,
1IRL150B ,50065234
1J10 ,50003482
1J15 ,50368794
1J30 ,50011006
1J40 ,50002989
1J50 ,50003425
1J50A ,50004977
1JB5 ,
1JR300 ,50311570
1JR38 ,
1JR38B ,50319276
1R48 ,50010016
1R58 ,50071968
1RNG1661C ,50365766
1SEL2796B ,50207257
1SHV1848A ,50248558
1URD475 ,50018514
1VLV2192L ,50392471
1VLV2192M ,50370386
1VLV2199C ,50212257
1VLV2216B ,50137868
