INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
A719CM150 ,50126416,3,,A912R48 ,50013341,99
A720R58 ,50069178,5,,A914RP38 ,50016112,2
A721R58 ,50069186,5,,A914R48 ,50013366,1
A73R38 ,50045624,12,,A919J50 ,50004951,1
A73S49 ,50034321,39,,A920JR38A ,,1
A74JL4 ,50061852,1,,A920JR38C ,50170430,90
A771CC80 ,,2,,A922JR38 ,50020544,11
A792CM150 ,50126457,2,,A94DHD275 ,50160845,1
A8PF3 ,50186469,3,,A94JR38 ,50017730,2
A82D50 ,50112077,1,,A94PB6 ,50001610,1
A82JB5 ,50008960,4,,A94PB8 ,50016419,14
A82J50 ,50004316,7,,A94X71 ,50049774,6
A82L74 ,50160175,7,,A940JR38 ,,5
A82S68 ,,2,,A946JR38B ,50174259,52
A82X71WD ,,1,,A95D45 ,50008283,8
A85X71 ,,2,,A95PF3 ,50185479,3
A852RP38 ,50014240,1,,A953JR38B ,50174275,21
A852R48 ,50012509,3,,A954CM150A ,50119098,2
A86JR38B ,50022748,67,,A954CM2 ,50116714,3
A868DM2RD ,50046697,1,,A955CM ,50116730,11
A868JR38 ,50019298,7,,A96D45 ,50008309,12
A87JR38 ,,1,,A965CM ,50116847,1
A87RP38 ,50002831,10,,A965D45 ,,1
A871JR38 ,,1,,A965D475 ,50016823,20
A872JR38 ,50019801,19,,A983DHD400 ,50030725,1
A873JR38 ,50019819,23,,A998URD475 ,50205152,1
A877JR300 ,50314087,99,,BBFM‐A111 ,3108883,5
A878RP38 ,95002564,6,,BBFM‐A555A ,325669,2
A88PF2 ,50186436,2,,BBFM‐B111 ,3108891,2
A89CM ,,2,,BBFM‐RA540B ,50304765,2
A891DM2RD ,50082064,3,,BBFM‐R540B ,50304781,1
A90DBM3 ,50159763,1,,BBFM‐105 ,95200622,1
A90JHM ,50036383,1,,BBFM‐17 ,3108818,22
A905R48 ,50012947,60,,BBFM‐290A ,3108917,20
A906RP38 ,50015445,24,,BBFM‐36 ,3108859,10
A907R48 ,50012966,6,,BBFM‐391 ,3108925,6
A908JR38 ,50019942,1,,BBMF‐471 ,3108958,5
A911JR38B ,50174085,71,,BBFM‐472A ,3108966,3
A911R48 ,50013325,3,,BBFM‐507 ,3108982,6
A912JR38B ,50174101,99,,BBFM‐509 ,3108990,12
A912RP38 ,50016070,99,,BBFM‐537 ,3109014,8
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,6,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
BBFM‐541A ,3109071,1,,BH15977 ,50097351,1
BBFM‐549 ,3109089,4,,BH16046 ,50098110,1
BBFM‐555 ,,1,,BH16124 ,50052315,14
BBFM‐556 ,3109139,3,,BH16125 ,50052323,29
BBFM‐9A ,3108792,10,,BH16480 ,50098557,9
BBFM4‐29A ,3108834,17,,BH16670 ,50053347,10
BBFM4‐500 ,50293133,3,,BH7171 ,50053859,6
BBFM4‐534 ,3109006,7,,BH17456 ,,1
BD58000‐08‐01 ,50267582,4,,BH17535 ,50053867,28
BH1020‐4 ,,1,,BH17569 ,50053875,19
BH10380 ,50050848,1,,BH17746 ,50098326,2
BH1072 ,50064708,3,,BH18376 ,50058169,1
BH1073 ,50064716,5,,BH19082 ,50288851,36
BH1081‐4 ,50064724,2,,BH19085 ,50095181,4
BH1092 ,50064732,2,,BH19086 ,50288943,3
BH1093 ,50064740,4,,BH19087 ,50305648,10
BH10955 ,50288844,6,,BH19088 ,50305655,1
BH1102 ,50064765,5,,BH19093 ,50087519,1
BH1111 ,50064773,11,,BH19094 ,50097815,1
BH1121 ,50064799,4,,BH19095 ,50099852,7
BH11216 ,50515857,4,,BH19097 ,50098649,1
BH11217 ,50098177,1,,BH1920 ,50063056,10
BH1123 ,50222561,4,,BH1927 ,50063064,10
BH1127 ,50064815,3,,BH19298 ,50288836,5
BH1134 ,50064823,6,,BH19304 ,50288372,4
BH1135‐4 ,50064831,1,,BH‐9341 ,50098094,1
BH1135‐6 ,50064849,1,,BH19342 ,50098052,1
BH11411 ,50050913,2,,BH19343 ,50098250,1
BH11608 ,50050947,1,,BH19456 ,50095199,4
BH1208 ,50064856,3,,BH19457 ,50288810,4
BH13175‐7 3/4 ,50440882,7,,BH19458 ,50288802,4
BH13284 ,50637958,1,,BH20038 ,50305721,19
BH13354 ,50093368,13,,BH20320 ,50374941,2
BH1351‐4 ,50062967,4,,BH20448 ,50288356,4
BH13927 ,,9,,BH20507 ,50374925,13
BH1406 ,50062975,3,,BH20587 ,50098185,1
BH1407 ,50062983,1,,BH20651 ,50293059,1
BH14111 ,,11,,BH20704 ,50098524,1
BH14115 ,50305481,1,,BH20909 ,50097930,2
BH1452 ,,2,,BH21081 ,50288877,15
BH1565 ,50062991,99,,BH21110 ,50288869,9
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,7,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
BH21434 ,50098367,1,,BH24665 ,50373992,1
BH21448 ,50288752,2,,BH24671 ,50374701,10
BH21641 ,50095165,3,,BH24676 ,50551829,1
BH21642 ,50095173,1,,BH24678 ,50551837,9
BH22327 ,50093475,4,,BH24687 ,50372895,1
BH22389 ,50098201,2,,BH24690 ,50374891,1
BH22390 ,50098227,1,,BH24692 ,50063189,38
BH22432 ,50098490,2,,BH24698 ,50435015,8
BH22556‐48 ,50351907,1,,BH24732 ,50374990,17
BH22590 ,50098060,9,,BH24738 ,50477017,10
BH22604 ,50098151,1,,BH24894 ,,9
BH22610‐60 ,50097971,1,,BH25280 ,50478130,1
BH2269 ,50095686,2,,BH2550‐1 ,50063106,4
BH22734 ,50098540,4,,BH2568 ,50063114,2
BH22735 ,50289032,4,,BH2572 ,50063148,1
BH22737‐48 ,50098565,2,,BH26236 ,50405380,1
BH22737‐72 ,50402825,1,,BH2679 ,50063155,4
BH22743 ,50099530,2,,BH27754 ,50428648,1
BH22744 ,50099555,3,,BH27790 ,50551993,1
BH22745 ,50099563,1,,BH2788 ,50063171,3
BH22747 ,50099548,1,,BH2795 ,,2
BH22750 ,50099522,1,,BH2805 ,50063197,7
BH22757 ,50259001,4,,BH2806 ,50061282,3
BH22782 ,50289040,5,,BH2808 ,50061290,1
BH22818‐24 1/2 ,50098391,1,,BH2832 ,50061316,5
BH22834 ,50258995,3,,BH2833 ,50061324,3
BH22904 ,50097955,1,,BH28357 ,50552108,1
BH22980‐14 ,50721364,2,,BH28632‐20 1/2 ,50552124,1
BH23148 ,50397363,3,,BH2866 ,50061332,1
BH23165‐28 ,50435122,4,,BH2867 ,50061340,1
BH23232‐7 3/4 ,50098474,1,,BH28710 ,50458645,1
BH23272 ,50095140,9,,BH29453 ,50601541,1
BH23964 ,50341908,3,,BH29466 ,50458801,1
BH24195 ,50373547,4,,BH29839 ,50552199,3
BH24203 ,50373448,2,,BH29848 ,50552231,8
BH24204 ,50373588,2,,BH29889‐9 7/8 ,50552298,1
BH24538 ,50435049,2,,BH29913‐7 3/4 ,50552330,12
BH24649 ,50373455,18,,BH3198 ,50061373,2
BH24650 ,50373224,2,,BH3207 ,50061381,2
BH24655 ,50399104,32,,BH32199 ,50602002,3
BH24658 ,50434992,14,,BH3256 ,50328418,2
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,8,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
BH3265 ,50095629,4,,BH9290 ,50050780,8
BH33517 ,50789122,1,,BH9420 ,50050806,10
BH3488 ,50061415,3,,BH9422‐48 ,50050814,1
BH3630 ,50095611,9,,BH9607 ,50305952,2
BH3735 ,50061431,1,,BH9994 ,,1
BH3737 ,50061456,12,,BNHH‐85 ,3480159,5
BH3739 ,50061514,1,,BNR31‐A102 ,3499910,1
BH3774 ,95028528,11,,BP18‐030‐5 ,50264688,2
BH3777 ,50601848,1,,BU‐145 ,3198199,1
BH3796 ,50060243,5,,BU‐155 ,3198322,2
BH3844 ,95018198,99,,BU‐259 ,,2
BH3972 ,95086633,99,,BU‐359 ,3198553,1
BH4421 ,50747153,3,,BU‐466 ,3198645,1
BH4432 ,50059526,2,,BU‐553 ,3198868,9
BH4433 ,50059534,4,,BU‐657 ,3199049,12
BH4435 ,50059542,2,,BU‐658 ,3199064,3
BH4437 ,50059559,15,,BU‐664 ,3199072,6
BH4438 ,50059567,9,,BU‐666 ,3199080,6
BH4440 ,50198084,3,,BU‐866 ,,1
BH4441 ,50059583,12,,B01‐11 ,3014461,99
BH4442 ,95018727,1,,B01‐7B ,3014370,1
BH4443 ,50059591,6,,B1D45 ,50001809,5
BH4444 ,50057686,2,,B1JA55 ,,2
BH4445 ,50057694,2,,B1JR38 ,50006790,1
